input,reference,greedy,beam
"18 : 9 king of israel jehoshaphat king of judah sit of them on his throne , clothe in their robe , they sit in void place at enter in of gate of samaria ; all prophet prophesy before them .","18 : 9 and the king of israel and jehoshaphat king of judah sat either of them on his throne , clothed in their robes , and they sat in a void place at the entering in of the gate of samaria ; and all the prophets prophesied","18 : 9 and the king of israel and jehoshaphat king of judah sat of them on his throne , and clothed in their robe , and they sat in void places at entering in of the gate of samaria ; and all the prophets prophesied before them","18 : 9 and the king of israel and jehoshaphat king of judah sat of them on his throne , and clothed in their robe , and they sat in void places at entering in of the gate of samaria ; and all the prophets prophesied before them"
selah .,selah .,selah .,selah .
22 : 27 last of all woman die also .,22 : 27 and last of all the woman died also .,22 : 27 and last of all the women died also .,22 : 27 and last of all the women died also .
""" pan again !""",""" pan again !""",""" pan again !""",""" pan again !"""
"i should not be at surprised if , when you count scientific investigation discovery since fall of rome , you find that great mass of them have be make by monk .","i should not be at all surprised if , when you counted the scientific investigations and discoveries since the fall of rome , you found that a great mass of them had been made by monks .","i should not be at all surprised if , when you counted scientific investigations since the fall of rome , you find that the great mass of them had been made by the monk .","i should not be at all surprised if , when you counted scientific investigations since the fall of rome , you find that a great mass of them had been made by the monk ."
""" oh !",""" oh !",""" oh !",""" oh !"
""" god bless my soul !",""" god bless my soul !",""" god bless my soul !",""" god bless my soul !"
"still more strange see him  perch upon loggerhead itself , under such circumstance .","still more strange to see him perched upon the loggerhead itself , under such circumstances .","still more strange see him perch upon the loggerhead itself , under such circumstances .","still more strange see him perch upon the loggerhead itself , under such circumstances ."
26 : 50 be family of naphtali accord their family : they that be number of them be forty five thousand four hundred .,26 : 50 these are the families of naphtali according to their families : and they that were numbered of them were forty and five thousand and four hundred .,26 : 50 these are the families of naphtali according to their families : they that are numbered of them are forty and five thousand and four hundred .,26 : 50 these are the families of naphtali according to their families : they that are numbered of them are forty and five thousand and four hundred .
"18 : 26 then say eliakim son of hilkiah , shebna , joah , unto rabshakeh , speak , i pray thee , thy servant in syrian language ; for we understand it : talk not with u in jew ' language in ear of people that be","18 : 26 then said eliakim the son of hilkiah , and shebna , and joah , unto rabshakeh , speak , i pray thee , to thy servants in the syrian language ; for we understand it : and talk not with us in the jews '","18 : 26 then said eliakim the son of hilkiah , and shebna , and joah , unto rabshakeh , speak , i pray thee , thy servants in the syrians language ; for we understand it : talk not with us in the jews ' language in","18 : 26 then said eliakim the son of hilkiah , and shebna , and joah , unto rabshakeh , speak , i pray thee , thy servants in the syrians language ; for we understand it : talk not with us in the jews ' language in"
"2 : 14 boaz say unto her , at  come thou hither , eat of bread , dip thy morsel in vinegar .","2 : 14 and boaz said unto her , at come thou hither , and eat of the bread , and dip thy morsel in the vinegar .","2 : 14 and boaz said unto her , at the come thou hither , eat of bread , and dip thy morsel in the vinegar .","2 : 14 and boaz said unto her , at the come thou hither , eat of bread , and dip thy morsel in vinegar ."
"19 : 10 men put forth their hand , pull lot into house them , shut door .","19 : 10 but the men put forth their hand , and pulled lot into the house to them , and shut to the door .","19 : 10 and the men put forth their hands , and pulled the lot into the house to them , and shut the door .","19 : 10 and the men put forth their hands , and pulled the lot into the house to them , and shut the door ."
"it may be his digestion , his conscience , his nerve , his philosophy of universe , he ' s damn , he ' s in hell !","it may be his digestion , or his conscience , or his nerves , or his philosophy of the universe , but he ' s damned , he ' s in hell !","it may be his activity , and his conscience , and his nerves , and his philosophy of the universe , he ' s damned , he ' s in hell !","it may be his activity , and his conscience , and his nerves , and his philosophy of the universe , he ' s damned , he ' s in hell !"
cask .,cask .,cask .,cask .
"my dear , it be quite understood , i give you my word .","my dear , it is quite understood , i give you my word .","my dear , it is quite understood , i give you my word .","my dear , it is quite understood , i give you my word ."
"26 : 1 it come pass in eleventh year , in first day of month , that word of lord come unto me , say , 26 : 2 son of man , because tyrus hath say against jerusalem , aha , she be broken that be gate","26 : 1 and it came to pass in the eleventh year , in the first day of the month , that the word of the lord came unto me , saying , 26 : 2 son of man , because that tyrus hath said against jerusalem ,","26 : 1 and it came to pass in the eleventh year , in the first day of the month , that the word of the lord came unto me , saying , 26 : 2 son of man , because tyrus hath said against jerusalem , aha","26 : 1 and it came to pass in the eleventh year , in the first day of the month , that the word of the lord came unto me , saying , 26 : 2 son of man , because tyrus hath said against jerusalem , aha"
"3 : 8 he make most holy house , length whereof be accord breadth of house , twenty cubit , breadth thereof twenty cubit : he overlay it with fine gold , amount six hundred talent .","3 : 8 and he made the most holy house , the length whereof was according to the breadth of the house , twenty cubits , and the breadth thereof twenty cubits : and he overlaid it with fine gold , amounting to six hundred talents .","3 : 8 and he made the most holy house , and the length whereof was according to the breadth of the house , twenty cubits , and the breadth thereof twenty cubits : and he overlaid it with a fine gold , and the blue and six","3 : 8 and he made the most holy house , and the length whereof was according to the breadth of the house , twenty cubits , and the breadth thereof twenty cubits : and he overlaid it with a fine gold , and amount and six hundred"
"his life , a they significantly call it , be untouched .","his life , as they significantly call it , was untouched .","his life , as they significantly call it , was untouched .","his life , as they significantly call it , was untouched ."
"26 : 1 it shall be , when thou art come in unto land which lord thy god giveth thee for inheritance ,  it , dwellest therein ; 26 : 2 that thou shalt take of first of all fruit of earth , which thou shalt bring","26 : 1 and it shall be , when thou art come in unto the land which the lord thy god giveth thee for an inheritance , and it , and dwellest therein ; 26 : 2 that thou shalt take of the first of all the","26 : 1 and it shall be , when thou art come in unto the land which the lord thy god giveth thee for the inheritance , and the it , and dwellest therein ; 26 : 2 that thou shalt take of first of all the","26 : 1 and it shall be , when thou art come in unto the land which the lord thy god giveth thee for the inheritance , and it , and dwellest therein ; 26 : 2 that thou shalt take of first of all the fruit"
""" i beg second election of comrade syme .""",""" i beg to second the election of comrade syme .""",""" i beg the second election of comrades syme .""",""" i beg the second election of comrades syme ."""
fox look at him begin run .,the fox looked at him and began to run .,and the fox looked at him began running .,and the fox looked at him began running .
"pass , if pas , void profound of  night receive him next , wide - gaping , with utter loss of be  him , plunge in abortive gulf .","these passed , if any pass , the void profound of night receives him next , wide - gaping , and with utter loss of being him , plunged in that abortive gulf .","passing , if pass , void the profound of night received him next , wide - gaping , with utter loss of being to him , plunging in the anarchy gulf .","passing , if pass , void the profound of the night received him next , wide - gaping , with utter loss of being to him , plunging in the anarchy gulf ."
bru .,bru .,bru .,bru .
turnbull ' s mouth twitch in angry humour under his red moustache .,turnbull ' s mouth twitched in angry humour under his red moustache .,turnbull ' s mouth twitch in angry humour under his red moustache .,turnbull ' s mouth twitch in angry humour under his red moustache .
"it be high time go , for pool be get quite crowd with bird animal that have fall into it : there be duck dodo , lory eaglet , several other curious creature .","it was high time to go , for the pool was getting quite crowded with the birds and animals that had fallen into it : there were a duck and a dodo , a lory and an eaglet , and several other curious creatures .","it was high time to go , for the pool was getting quite a crowd with the bird animal that had fallen into it : and there was a duck dodo , and the lory to the eaglet , several other curious creatures .","it was a high time going , for the pool was getting quite crowd with the bird animal that had fallen into it : and there was a duck dodo , and the lory eaglet , several other curious creatures ."
"1 : 16 make thee bald , poll thee for thy delicate child ; enlarge thy baldness a eagle ; for they be go into captivity from thee .","1 : 16 make thee bald , and poll thee for thy delicate children ; enlarge thy baldness as the eagle ; for they are gone into captivity from thee .","1 : 16 make thee bald , and polled thee for thy delicate child ; enlarge thy baldness as eagles ; for they are gone into captivity from thee .","1 : 16 make thee bald , and polled thee for thy delicate child ; enlarge thy baldness as eagles ; for they are gone into captivity from thee ."
"27 : 32 isaac his father say unto him , who art thou ?","27 : 32 and isaac his father said unto him , who art thou ?","27 : 32 and isaac and his father said unto him , who art thou ?","27 : 32 and isaac and his father said unto him , who art thou ?"
""" be he really anarchist , then ?""",""" is he really an anarchist , then ?""",""" is he really anarchist , then ?""",""" is he really anarchist , then ?"""
"thy hope be have reach highth of thy aspire  , throne of god unguarded , his side abandon , at terrour of thy power or potent tongue : fool ! not think how vain against omnipotent rise in arm ; who out of small thing could ,","thy hope was to have reached the highth of thy aspiring , the throne of god unguarded , and his side abandoned , at the terrour of thy power or potent tongue : fool ! not to think how vain against the omnipotent to rise in arms","thy hope is has reached the highth of thy aspired , the thrones of god to unguarded , his side abandoned , at terrour of thy power and potent tongue : fool !","thy hope was having reached the highth of thy aspired , the thrones of god unguarded , and his side abandoned , at terrour of thy power and by potent tongues : fool !"
"bethink thee of albatross , whence come cloud of spiritual wonderment pale dread , in which that white phantom sail in imagination ?","bethink thee of the albatross , whence come those clouds of spiritual wonderment and pale dread , in which that white phantom sails in all imaginations ?","bethink thee of albatross , whence come to the clouds of spiritual and wonderment pale and dread , in which that white phantoms sail in the imagination ?","bethink thee of albatross , whence come to the clouds of spiritual and wonderment pale and dread , in which that white phantoms sail in the imagination ?"
ham .,ham .,ham .,ham .
his x mark .,his x mark .,his x mark .,his x mark .
5 : 20 in famine he shall redeem thee from death : in war from power of sword .,5 : 20 in famine he shall redeem thee from death : and in war from the power of the sword .,5 : 20 in the famine he shall redeem thee from death : in the wars from the power of the sword .,5 : 20 in famines he shall redeem thee from death : in the wars from the power of the sword .
"it be in her name i ask for it .""","it is in her name i ask for it .""","it was in her name i ask for it .""","it is in her name i ask for it ."""
"40 : 12 for innumerable evil have compass me about : mine iniquity have take hold upon me , so that i be not able look up ; they be more than hair of mine head : therefore my heart faileth me .","40 : 12 for innumerable evils have compassed me about : mine iniquities have taken hold upon me , so that i am not able to look up ; they are more than the hairs of mine head : therefore my heart faileth me .","40 : 12 for innumerable evil have compassed me about : mine iniquity have taken upon me , so that i was not able to look up ; they are more than the hair of mine head : therefore my heart faileth me .","40 : 12 for innumerable evil have compassed me about : mine iniquity have taken upon me , so that i am not able to look up ; they are more than the hair of mine head : therefore my heart faileth me ."
"sure a ship of , earth itself , product of deathly fire turbulent chaos , forth from it spasm of fury it poison , issue at last in perfect power beauty , onward beneath sun follow it course , so thee o ship of france !","sure as the ship of all , the earth itself , product of deathly fire and turbulent chaos , forth from its spasms of fury and its poisons , issuing at last in perfect power and beauty , onward beneath the sun following its course , so thee","sure as the ship of , the earth itself , the products of deathly fire and the turbulent chaos , forth from its spasms of fury it poison , issued at last in perfect power beauty , onward beneath its surf following its course , so thee o","sure as a ship of , the earth itself , the products of deathly fire and chaos chaos , forth from its spasms of fury it poison , issued at last in perfect power and beauty , onward beneath its course , so thee o ship of france"
"long staid he so , at last , little shaking of mine arme : thrice his head thus wauing vp downe ; he rais ' d sigh , so  profound , that it do seeme shatter his  , end his be .","long staid he so , at last , a little shaking of mine arme : and thrice his head thus wauing vp and downe ; he rais ' d a sigh , so and profound , that it did seeme to shatter all his , and","long staid he so , at last , little shaking of mine arme : thrice his head thus wauing downe downe downe ; he rais ' d sigh , so profound , that it did seeme his , and end his being .","long staid he so , at last , little shaking of mine arme : thrice his head thus wauing downe downe downe ; he rais ' d sigh , so profound , that it does seeme his , and end his being ."
""" pate de foie gras be not good here , i can recommend game .""",""" the pate de foie gras is not good here , but i can recommend the game .""",""" but the pate de pump is hitherto here here , i can recommend to game .""",""" but the pate de pressman is hitherto here here , i can recommend the game ."""
"16 : 32 he rear up altar for baal in house of baal , which he have build in samaria .","16 : 32 and he reared up an altar for baal in the house of baal , which he had built in samaria .","16 : 32 and he reared up the altar for baal in the house of baal , which he had built in samaria .","16 : 32 and he reared up the altar for baal in the house of baal , which he had built in samaria ."
"6 : 4 then president prince seek find occasion against daniel concern kingdom ; they could find none occasion fault ; forasmuch a he be faithful , be there error fault find in him .","6 : 4 then the presidents and princes sought to find occasion against daniel concerning the kingdom ; but they could find none occasion nor fault ; forasmuch as he was faithful , neither was there any error or fault found in him .","6 : 4 then the president sewed sought to find occasion against daniel concerning the kingdom ; and they could find none occasion to fault ; forasmuch as he was faithful , was there a error fault found in him .","6 : 4 then the president prince sought to find occasion against daniel concerning the kingdom ; and they could find none occasion to fault ; forasmuch as he was faithful , and was there three fault found in him ."
how do ' s hamlet ?,how do ' s hamlet ?,how do ' s hamlet ?,how do ' s hamlet ?
"i be sure she saw me , she look away directly , take notice ; they go quite farther end of shop ; i keep sit near door !-- oh !","i am sure she saw me , but she looked away directly , and took no notice ; and they both went to quite the farther end of the shop ; and i kept sitting near the door !-- oh !","i am sure she saw me , she looked away directly , and took notice ; and they went quite farther end of the shop ; and i kept sit near the door !-- oh !","i am sure she saw me , she looked away directly , and took notice ; and they went quite farther end of the shop ; and i kept sit near the door !-- oh !"
"we investigate , on scientific principle , story of macian ' s challenge , we be happy be able inform you that whole story of attempted duel be fable .","we investigated , on scientific principles , the story of macian ' s challenge , and we are happy to be able to inform you that the whole story of the attempted duel is a fable .","we investigate , on scientific principles , the story of macian ' s challenge , we are happy to be able to inform you that the whole story of the selfish duels are fable .","we investigate , on scientific principles , the story of macian ' s challenge , and we are happy to be able to inform you that the whole story of the selfish duels is fable ."
"before audience could quite dismiss idea that priest have really see himself do murder with short dagger with long hilt ( which seem somehow make it more horrible ), he have himself hurry on explain .","before the audience could quite dismiss the idea that the priest had really seen himself doing murder with a short dagger with a long hilt ( which seemed somehow to make it more horrible ), he had himself hurried on to explain .","before the audience could quite dismiss idea that the priest had really seen himself to do himself do murder with a long communication ( which seemed somehow to make it more horrible ), he had himself hurried on to explain .","before the audience could quite dismiss idea that the priest had really seen himself to do himself do murder with a long communication ( which seemed somehow to make it more horrible ), he had himself hurried on to explain ."
"6 : 20 o timothy , keep which be commit thy trust , avoid profane vain babbling , opposition of science falsely so call : 6 : 21 which professing have err concern faith .","6 : 20 o timothy , keep that which is committed to thy trust , avoiding profane and vain , and of science falsely so called : 6 : 21 which some professing have erred concerning the faith .","6 : 20 o timothy , keep which is committed thy trust , and avoid profane vain , opposition of science falsely so call : 6 : 21 which have erred have erred concerning faith .","6 : 20 o timothy , keep which is committed thy trust , and avoid profane vain , and opposition of science falsely so called : 6 : 21 which have erred have erred concerning faith ."
what clue in you ?,what clue to all in you ?,what clue in you ?,what clue in you ?
how be that ?,how is that ?,how is that ?,how is that ?
for long time -- it seem for hour -- that huge masquerade of mankind sway stamp in front of them march exultant music .,for a long time -- it seemed for hours -- that huge masquerade of mankind swayed and stamped in front of them to marching and exultant music .,for a long time -- it seems for an hour -- that huge masquerade of mankind sway in the front of them march and monstrous music .,for a long time -- it seems for an hour -- that the huge masquerade of mankind sway stamping in the front of them a march to the music .
"we have have great trial , great persecution , however , at same time , gratefully acknowledge many friend , yourself not least among them , whose great kindness i shall always thankfully remember , a will edward too , who i have tell of it .","we have had great trials , and great persecutions , but however , at the same time , gratefully acknowledge many friends , yourself not the least among them , whose great kindness i shall always thankfully remember , as will edward too , who i have told","we have had had a great trial , a great persecution , however , at the same time , gratefully acknowledge many friends , yourself not the least among them , whose great kindness i shall thankfully remember , as will edward too , who i have told","we have had had a great trial , and a great persecution , however , at the same time , gratefully acknowledge many friends , yourself not the least among them , whose great kindness i shall always remember , as will edward too , who i have"
ask syme .,asked syme .,asked syme .,asked syme .
"he know also , that common ruffian ( such a attack lady in novel ) be ever so savage ruthless a coarse kind of gentleman when he be really alarmed .","and he knew this also , that no common ruffian ( such as attacks ladies in novels ) is ever so savage and ruthless as a coarse kind of gentleman when he is really alarmed .","he knew also , that common ruffians ( such as attacking lady in novels ) was ever so savage as coarse kind of gentlemen when he was really alarmed .","he knew also , that common ruffians ( such as attacking lady in novels ) was ever so savage as coarse kind of gentlemen when he was really alarmed ."
"meantime , of broken keel of ahab ' s wreck craft carpenter make him leg ; while still a on night before , slouch ahab stand fix within his scuttle ; his hid ,  glance anticipatingly go backward on it dial ; due eastward for early sun","meantime , of the broken keel of ahab ' s wrecked craft the carpenter made him another leg ; while still as on the night before , slouched ahab stood fixed within his scuttle ; his hid , glance anticipatingly gone backward on its dial ; sat","meantime , of broken keel of ahab ' s wreck craft made him legs ; while still as on night before , slouched slouched ahab stood fixed within his scuttle ; and his hid , glance to go backward backward backward on its dial ; and eastward","meantime , of broken the keel of ahab ' s wreck craft made him legs ; while still as on night before , slouched slouched ahab stood fixed within his scuttle ; and his hid , glance eyeing going backward backward on its dial ; and eastward"
"5 : 16 their quiver be a open sepulchre , they be mighty men .","5 : 16 their quiver is as an open sepulchre , they are all mighty men .","5 : 16 and their quiver was as open the sepulchre , and they were mighty men .","5 : 16 and their quiver was as open the sepulchre , and they were mighty men ."
"it have be great disappointment mr musgrove find that early day could be fix , so impatient be he shew his gratitude , by see captain wentworth under his own roof , welcome him be strong best in his cellar .","it had been a great disappointment to mr musgrove to find that no earlier day could be fixed , so impatient was he to shew his gratitude , by seeing captain wentworth under his own roof , and welcoming him to all that was strongest and best in","it had been a great disappointment to mrs musgrove found that early day could be fixed , so impatient was he shewn his gratitude , by seeing captain wentworth under his own roof , and welcome him to be strong best in his cellars .","it had been a great disappointment to mrs musgrove found that early day could be fixed , so impatient was he shewn his gratitude , by seeing captain wentworth under his own roof , and welcome him to be strong best in his cellars ."
""" i will let him in ,"" say he , "" myself ; for i ' m sure he ' ll never break his word .""",""" i will let him in ,"" said he , "" myself ; for i ' m sure he ' ll never break his word .""",""" i will let him in ,"" said he , "" myself ; for i ' m sure he ' ll never break his word .""",""" i will let him in ,"" said he , "" myself ; for i ' m sure he ' ll never break his word ."""
"12 : 43 bless be servant , whom his lord when he cometh shall find so do .","12 : 43 blessed is that servant , whom his lord when he cometh shall find so doing .","12 : 43 blessed this is servants , whom his lord when he cometh shall find so do .","12 : 43 blessed be servants , whom his lord when he cometh shall find so do ."
"though picture lie thus trance , though pine - tree shake down it sigh like leaf upon shepherd ' s head , yet be vain , unless shepherd ' s eye be fix upon magic stream before him .","but though the picture lies thus tranced , and though this pine - tree shakes down its sighs like leaves upon this shepherd ' s head , yet all were vain , unless the shepherd ' s eye were fixed upon the magic stream before him .","though the picture lie thus trance , though pine - tree shake down it sigh like leaves upon shepherd ' s head , yet is vain , unless shepherd ' s eyes was fixed upon the magic streaming before him .","though pictures lie thus trance , though pine - tree shake down it sigh like leaves upon shepherd ' s head , yet is vain , unless shepherd ' s eyes was fixed upon the magic streaming before him ."
i must burst up show ; i must will say everything .,i must burst up the show ; i must and will say everything .,i must burst up to show ; i must will will say everything .,i must burst up to show ; i must will will say everything .
"she have never be quite well since time of their daughter ' s marriage ; till she should have completely recover her usual strength , they must forbid her engaging in duty , which , so far from be compatible with weaken frame vary spirit , seem ,","she had never been quite well since the time of their daughter ' s marriage ; and till she should have completely recovered her usual strength , they must forbid her engaging in duties , which , so far from being compatible with a weakened frame and varying","she had never been quite better since the time of their daughter ' s marriage ; till she should have completely recover her usual strength , they must forbid her to the loss in the duty , which , so far from being compatible with weaken and varying","she had never been quite better since the time of their daughter ' s marriage ; till she should have completely recover her usual strength , they must forbid her to the loss in the duty , which , so far from being compatible with weaken and varying"
"yes , i suppose so .","yes , i suppose so .","yes , i suppose so .","yes , i suppose so ."
clo .,clo .,clo .,clo .
"39 : 2 i be dumb with silence , i hold my peace , even from good ; my sorrow be stir .","39 : 2 i was dumb with silence , i held my peace , even from good ; and my sorrow was stirred .","39 : 2 i am dumb with silence , i hold my peace , even from good ; my sorrow is stirred .","39 : 2 i am dumb with silence , i hold my peace , even from good ; my sorrow is stirred ."
inspector ratcliffe draw his brow together .,inspector ratcliffe drew his brows together .,ratcliffe ratcliffe drew his brow together .,ratcliffe ratcliffe drew his brow together .
""" aye , aye ,"" say stubb , second mate , "" starbuck , there , be as careful man a you ' ll find anywhere in fishery .""",""" aye , aye ,"" said stubb , the second mate , "" starbuck , there , is as careful a man as you ' ll find anywhere in this fishery .""",""" aye , aye ,"" said stubb , the second mate , "" starbuck , there , is as careful man as you ' ll find anywhere in the fishery .""",""" aye , aye ,"" said stubb , the second mate , "" starbuck , there , is as careful man as you ' ll find anywhere in the fishery ."""
} thought,} thought,} thought,} thought
